marca,modello,versione,passo,shock_abs_tallone,shock_abs_mesopiede,energy_ret_tallone,energy_ret_mesopiede,rigidezza_flex,peso,altezza_tallone,altezza_mesopiede,drop
nike,Vomero,18.0,daily tr,147,116,0.569,0.589,16.0,298,42.5,28.6,13.899999999999999
nike,AlphaFly,3.0,race,144,113,0.749,0.739,28.4,201,38.1,29.6,8.5
nike,ZoomFly,6.0,tempo,144,111,0.61,0.67,21.5,248,39.7,30.1,9.600000000000001
nike,VaporFly,4.0,race,137,94,0.781,0.745,18.0,166,34.1,25.5,8.600000000000001
nike,Pegasus,41.0,daily tr,125,92,0.555,0.614,9.4,281,33.6,22.2,11.400000000000002
nike,Pegasus plus,,daily tr,125,79,0.644,0.708,10.5,244,33.0,23.6,9.399999999999999
nike,StreakFly,2.0,race,106,82,0.763,0.779,7.0,128,27.0,23.3,3.6999999999999993
ON,CloudBoom Strike,,race,139,127,0.721,0.734,17.8,201,38.1,34.9,3.200000000000003
ON,CloudMonster Hyper,,tempo,138,118,0.544,0.602,15.8,258,39.7,33.0,6.700000000000003
ON,CloudBoom Echo,3.0,race,133,108,0.728,0.714,22.0,225,38.6,28.4,10.200000000000003
puma,MagMax Nitro,,daily tr,148,139,0.555,0.573,17.9,291,42.9,33.3,9.600000000000001
puma,Fast-R Nitro Elite,3.0,race,148,124,0.804,0.826,23.1,173,38.5,30.2,8.3
puma,Deviate Nitro Elite,3.0,race,147,124,0.771,0.763,18.1,204,39.2,28.6,10.600000000000001
puma,ForeverRun Nitro,2.0,daily tr,139,105,0.605,0.636,10.8,291,35.3,26.5,8.799999999999997
puma,Velocity Nitro,4.0,daily tr,136,100,0.675,0.742,8.9,224,33.7,24.0,9.700000000000003
puma,Deviate Nitro,3.0,tempo,132,100,0.607,0.634,20.6,268,37.4,27.3,10.099999999999998
saucony,Triumph,23.0,daily tr,149,136,0.676,0.712,17.5,272,42.3,32.3,10.0
saucony,Endorph Elite,2.0,race,157,123,0.806,0.821,17.5,197,39.9,32.4,7.5
saucony,Ride,18.0,daily tr,141,116,0.6,0.65,11.0,255,35.0,26.6,8.399999999999999
saucony,Endorph Trainer,,tempo,138,112,0.688,0.763,25.6,285,38.9,32.0,6.899999999999999
saucony,Guide,18.0,daily tr,124,119,0.613,0.62,13.2,278,36.0,27.7,8.3
saucony,Kinvara pro,,daily tr,127,115,0.659,0.704,26.4,281,45.6,35.3,10.300000000000004
saucony,Endorph Speed,5.0,tempo,132,108,0.732,0.782,12.9,241,37.4,26.8,10.599999999999998
saucony,Endorph Pro,4.0,race,139,103,0.717,0.715,25.7,220,38.1,28.6,9.5
saucony,Kinvara,15.0,tempo,117,107,0.572,0.608,9.1,194,27.9,23.5,4.399999999999999
